funcao;categoria;assinatura_oficial;situacao;id_matriz;fonte
RequisitarHabilitarIdentificacaoVerificacao;configuracao;byte RequisitarHabilitarIdentificacaoVerificacao(int Inner, int TipoModBio, int Identificacao, int Verificacao);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarIdentificarUsuarioLeitorBio;biometria;byte RequisitarIdentificarUsuarioLeitorBio(int Inner, int TipoModBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarListarUsuariosBio;biometria;byte RequisitarListarUsuariosBio(int Inner, int TipoComBio, int NumPacote);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarModeloBio;biometria;byte RequisitarModeloBio(int Inner, int TipoComBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarQuantidadeUsuariosBio;biometria;byte RequisitarQuantidadeUsuariosBio(int Inner, int TipoComBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarReceberTemplateLeitorInnerBio;biometria;byte RequisitarReceberTemplateLeitorInnerBio(int Inner, int TipoModBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarUsuarioCadastradoBio;biometria;byte RequisitarUsuarioCadastradoBio(int Inner, int TipoModBio, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarVerificarCadastroUsuarioBio;biometria;byte RequisitarVerificarCadastroUsuarioBio(int Inner, int TipoModBio, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarVerificarDigitalBio;biometria;byte RequisitarVerificarDigitalBio(int Inner, int TipoModBio, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RequisitarVersaoBio;biometria;byte RequisitarVersaoBio(int Inner, int TipoComBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResetarModoOnLine;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
RespostaCadastrarUsuarioLeitorInnerBio;biometria;byte RespostaCadastrarUsuarioLeitorInnerBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaEnviarAjustesBio;biometria;byte RespostaEnviarAjustesBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaEnviarDigitalUsuarioBio;biometria;byte RespostaEnviarDigitalUsuarioBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaExcluirTodosUsuariosBio;biometria;byte RespostaExcluirTodosUsuariosBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaExcluirUsuarioBio;biometria;byte RespostaExcluirUsuarioBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaHabilitarIdentificacaoVerificacao;configuracao;byte RespostaHabilitarIdentificacaoVerificacao(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaIdentificarUsuarioLeitorBio;biometria;byte RespostaIdentificarUsuarioLeitorBio(int Inner, byte[] UsuarioIdentificado);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaListarUsuariosBio;biometria;byte RespostaListarUsuariosBio(int Inner, ref int QtdPacotes, ref int Tamanho);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaModeloBio;biometria;byte RespostaModeloBio(int Inner, byte[] ModeloBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaQuantidadeUsuariosBio;biometria;byte RespostaQuantidadeUsuariosBio(int Inner, ref int QtdUsuariosBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaReceberTemplateLeitorInnerBio;biometria;byte RespostaReceberTemplateLeitorInnerBio(int Inner, ref int Tamanho);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaUsuarioCadastradoBio;biometria;byte RespostaUsuarioCadastradoBio(int Inner, ref int TamanhoReceber);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaVerificarCadastroUsuarioBio;biometria;byte RespostaVerificarCadastroUsuarioBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaVerificarDigitalBio;biometria;byte RespostaVerificarDigitalBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
RespostaVersaoBio;biometria;byte RespostaVersaoBio(int Inner, byte[] VersaoBio);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoComparacaoDigitalLeitor;biometria;byte ResultadoComparacaoDigitalLeitor(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoComparacaoPINVerid;biometria;byte ResultadoComparacaoPINVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoComparacaoTemplateVerid;biometria;byte ResultadoComparacaoTemplateVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoConfiguracaoBio;biometria;byte ResultadoConfiguracaoBio(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoConfiguracaoRedeVerid;biometria;byte ResultadoConfiguracaoRedeVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoExclusaoTodosUsuariosVerid;biometria;byte ResultadoExclusaoTodosUsuariosVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoExclusaoUsuarioVerid;biometria;byte ResultadoExclusaoUsuarioVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoIdentificacaoBiometrica;biometria;byte ResultadoIdentificacaoBiometrica(int Inner, byte OnLine, byte[] Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoInclusaoUsuarioLeitorVerid;biometria;byte ResultadoInclusaoUsuarioLeitorVerid(int Inner, byte[] Template);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoInclusaoUsuarioVerid;biometria;byte ResultadoInclusaoUsuarioVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoInsercaoUsuarioLeitorBio;biometria;byte ResultadoInsercaoUsuarioLeitorBio(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ResultadoVerificacaoBiometrica;biometria;byte ResultadoVerificacaoBiometrica(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SetarBioLight;biometria;void SetarBioLight(int Light);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SetarBioVariavel;biometria;void SetarBioVariavel(int Maior);ASSINATURA_CONHECIDA;EI-025;SDK 6.0.2.0 EasyInner.cs
SetarInnerOld;outros;void SetarInnerOld(int Inner,int Old);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarDigitalUsuario;biometria;byte SolicitarDigitalUsuario(int Inner, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
